Id,description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
11579,"QNP 15, CEILANDIA NORTE, CEILANDIA",,casa,265691.0,124.0,2.0,,,venda,-15.8111721,-48.1333562
14995,"Córrego do Urubu, LAGO NORTE, BRASILIA",,rural,950000.0,,2.0,,,venda,-15.7175524,-47.8614315
8936,"QRI 32, RESIDENCIAL SANTOS DUMONT, SANTA MARIA",,casa,620000.0,250.0,6.0,,3.0,venda,-15.9981809,-47.9998815
14101,"Quadra 1, SETOR DE CHACARAS ANHANGUERA A, VALPARAISO DE GOIAS",,lote,150000.0,200.0,,,,venda,-16.073962,-47.9895899
5274,"SETOR HABITACIONAL SOL NASCENTE, CEILANDIA SUL, CEILANDIA",,casa,160000.0,90.0,2.0,,2.0,venda,-15.8274071,-48.1306989
10425,"Quadra 1 Comércio Local 15, SOBRADINHO, SOBRADINHO",,casa,860000.0,290.0,3.0,,6.0,venda,-15.7588601,-47.8877399
9977,"QNN 18 Conjunto E, CEILANDIA SUL, CEILANDIA",,casa,320000.0,98.0,3.0,,3.0,venda,-15.8249907,-48.116678
1499,"QS 16 Conjunto 1C, RIACHO FUNDO, RIACHO FUNDO",,apartamento,148000.0,51.0,2.0,,,venda,-15.8889862,-48.0134948
14015,"QNN 22 Conjunto A, CEILANDIA SUL, CEILANDIA",,lote,470000.0,198.0,,,2.0,venda,-15.8316543,-48.1092071
10237,"Chacará 62, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,casa,750000.0,150.0,4.0,,4.0,venda,-15.8190346,-48.0412929
10130,"QNM 17 Conjunto F, CEILANDIA SUL, CEILANDIA",,casa,830000.0,222.0,3.0,,3.0,venda,-15.8150449,-48.0995247
4368,"Quadra 18 Conjunto G, SOBRADINHO, SOBRADINHO",,casa,695000.0,240.0,3.0,,4.0,venda,-15.7085352,-47.9142635
11506,"DF003 KM 1,6 (Entre Balao do Torto e Colorado), TAQUARI, BRASILIA",,casa,940000.0,265.0,2.0,,2.0,venda,-15.6950072,-47.87102369999999
11617,"SHA Conjunto 3 Chacará 43, ARNIQUEIRA, AGUAS CLARAS",,casa,990000.0,200.0,3.0,,2.0,venda,-15.8651295,-47.9907254
11013,"QN 7 Conjunto 10, RIACHO FUNDO, RIACHO FUNDO",,casa,670000.0,270.0,3.0,,4.0,venda,-15.8830517,-48.0193003
12285,"Quadra 3 Conjunto B, JARDIM BOTANICO, BRASILIA",,lote,760000.0,800.0,,,,venda,-15.8706681,-47.794599
7218,"QS 4 Conjunto 11, RIACHO FUNDO, RIACHO FUNDO",,casa,850000.0,282.0,5.0,,3.0,venda,-15.8842778,-48.013559
8614,"QNG 30, TAGUATINGA NORTE, TAGUATINGA",,casa,450000.0,350.0,3.0,,3.0,venda,-15.8011915,-48.070157
2056,"CLN 7 Bloco E, RIACHO FUNDO, RIACHO FUNDO",,apartamento,248000.0,48.0,2.0,,,venda,-15.8035178,-47.9442194
11640,"SHA Conjunto 2 Chacará 44, ARNIQUEIRA, AGUAS CLARAS",,casa,650000.0,400.0,4.0,,1.0,venda,-15.8707888,-48.0014142
2059,"Conjunto Residencial 7 Condominio 1 Bloco E, PARQUE DAS CACHOEIRAS, VALPARAISO DE GOIAS",,apartamento,245000.0,65.0,3.0,,1.0,venda,-15.8073061,-47.9379023
12309,"QNO 1 Conjunto A, CEILANDIA NORTE, CEILANDIA",,lote,370000.0,144.0,,,,venda,-15.7992909,-48.1242281
6473,"QNJ 13, TAGUATINGA NORTE, TAGUATINGA",,casa,820000.0,200.0,3.0,,1.0,venda,-15.8129267,-48.0828154
8294,"QNO 16 Conjunto 61, CEILANDIA NORTE, CEILANDIA",,casa,230000.0,130.0,2.0,,2.0,venda,-15.8051898,-48.11841949999999
12643,"SHPSQuadra 502 Conjunto A, SETOR HABITACIONAL POR DO SOL, CEILANDIA",,lote,850000.0,1200.0,,,,venda,-15.8591636,-48.1213444
14807,"Rodovia DF 345, PLANALTINA, PLANALTINA",,rural,900000.0,,,,10.0,venda,-15.5799028,-47.5711585
9600,"Quadra 31 Conjunto A, PARQUE DA BARRAGEM SETOR 02, AGUAS LINDAS DE GOIAS",,casa,250000.0,120.0,3.0,,1.0,venda,-15.7687715,-48.2716782
3563,"MC 1, CONDOMÍNIO IMPÉRIO DOS NOBRES, SOBRADINHO",,kitnet,125000.0,22.0,1.0,,,venda,-15.6852548,-47.8340863
6799,"QSC 19 Chacará 26 Conjunto E, TAGUATINGA SUL, TAGUATINGA",,casa,759000.0,1000.0,4.0,,2.0,venda,-15.8145725,-48.0371992
10891,"Rua 5, METROPOLITANA, NUCLEO BANDEIRANTE",,casa,820000.0,149.0,3.0,,4.0,venda,-15.8774188,-47.97383480000001
484,"Quadra 2 Conjunto B 4 Bloco B, SOBRADINHO, SOBRADINHO",,apartamento,958329.0,98.0,3.0,,2.0,venda,-15.7079472,-47.9133088
13861,"Travessa Véu de Noiva, JARDIM BOTANICO, BRASILIA",,lote,455000.0,,,,,venda,-15.8612172,-47.8286874
3551,"AVENIDA 02, JARDIM CEU AZUL, VALPARAISO DE GOIAS",,apartamento,120000.0,55.0,2.0,,1.0,venda,-16.0539162,-47.9871142
6215,"QS 2 Conjunto 4, RIACHO FUNDO, RIACHO FUNDO",,casa,750000.0,144.0,5.0,,3.0,venda,-15.8826041,-48.0117516
6718,"JARDIM ANA BEATRIZ I Quadra 01, SANTO ANTONIO DO DESCOBERTO, SANTO ANTONIO DO DESCOBERTO",,casa,149900.0,60.0,2.0,,2.0,venda,-15.9505985,-48.2554697
11052,"QNL 28 Via 1, TAGUATINGA NORTE, TAGUATINGA",,casa,300000.0,116.0,3.0,,2.0,venda,-15.8165971,-48.09354829999999
5372,"QE 38 Conjunto U, GUARA II, GUARA",,casa,360000.0,120.0,4.0,,3.0,venda,-15.8474849,-47.9689616
6356,"QNM 25 Conjunto H, CEILANDIA SUL, CEILANDIA",,casa,450000.0,100.0,2.0,,2.0,venda,-15.834472,-48.089914
9506,"Quadra 38, SETOR LESTE, GAMA",,casa,590000.0,275.0,3.0,,,venda,-16.0233401,-48.0537612
2985,"QMS 30A, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,apartamento,250000.0,200.0,3.0,,,venda,-15.6353703,-47.8356058
11880,"Alphaville Residencial 2 Quadra N, ALPHAVILLE BRASILIA, ALPHAVILLE",,lote,215000.0,474.0,,,,venda,-23.4768588,-46.8662018
6335,"QNM 21 Conjunto I, CEILANDIA SUL, CEILANDIA",,casa,420000.0,250.0,4.0,,4.0,venda,-15.8282525,-48.0967749
3080,"CSB 07 Lote 08, TAGUATINGA SUL, TAGUATINGA",,apartamento,300000.0,85.0,2.0,,1.0,venda,-15.85181,-48.04185
2047,"QR 403 Conjunto 14, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,470000.0,78.0,2.0,,1.0,venda,-15.8692889,-48.09710339999999
13894,"Rua da Ponte, CENTRO, SAO SEBASTIAO",,lote,240000.0,200.0,,,,venda,-15.9033426,-47.7660513
12039,"Rua 10, VILA SAO JOSE, TAGUATINGA",,lote,800000.0,,,,,venda,-15.8335644,-48.057109
4514,"QR 413 Conjunto 1, SAMAMBAIA NORTE, SAMAMBAIA",,casa,120000.0,112.0,3.0,,3.0,venda,-15.8807046,-48.1112227
9083,"Rua DIVINA PROVIDENCIA, PONTE ALTA, GAMA",,casa,550000.0,2500.0,2.0,,,venda,-15.9670691,-48.0467061
7075,"SHPSQuadra 107 Conjunto A, SETOR HABITACIONAL POR DO SOL, CEILANDIA",,casa,299000.0,240.0,3.0,,6.0,venda,-15.8591636,-48.1213444
4025,"QI 7 Conjunto Z, GUARA I, GUARA",,casa,750000.0,269.0,3.0,,2.0,venda,-15.8188471,-47.97739439999999
14426,"Rodovia BR 020 KM 13, ZONA RURAL, PLANALTINA",,rural,800000.0,,,,,venda,-15.5820175,-47.5442734
2348,"QN 1 Conjunto 25, RIACHO FUNDO, RIACHO FUNDO",,apartamento,190000.0,54.0,2.0,,,venda,-15.8788032,-48.0024215
11677,"Rua DAS FIGUEIRAS, PONTE ALTA, GAMA",,casa,850000.0,400.0,4.0,,4.0,venda,-15.9606642,-48.0331377
6272,"Quadra 405, RECANTO DAS EMAS, RECANTO DAS EMAS",,casa,300000.0,120.0,4.0,,2.0,venda,-15.9135593,-48.0665543
4557,"Avenida Central Bloco 1505, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,casa,710000.0,120.0,3.0,,2.0,venda,-15.8746854,-47.9770811
5772,"QR 408 Conjunto 20, SAMAMBAIA NORTE, SAMAMBAIA",,casa,335000.0,110.0,2.0,,2.0,venda,-15.8598429,-48.0805986
9859,"QR 427 Conjunto 12, SAMAMBAIA NORTE, SAMAMBAIA",,casa,250000.0,110.0,3.0,,3.0,venda,-15.890976,-48.1381792
15176,"SGAN 608, ASA NORTE, BRASILIA",,sala,600000.0,68.0,,,2.0,venda,-15.7603189,-47.8766997
4660,"Condominio Estancia dos Ipes, JARDIM BOTANICO, BRASILIA",,casa,700000.0,280.0,3.0,,3.0,venda,-15.8846727,-47.7665283
1415,"QMSW 5 Lote 1, SUDOESTE, BRASILIA",,apartamento,750000.0,62.0,1.0,,,venda,-15.7961288,-47.9192487
500,"SHCES Quadra 105, NOVO, CRUZEIRO",,apartamento,445000.0,56.0,2.0,,,venda,-15.7994365,-47.943625
669,"QBR 8 Bloco C, RESIDENCIAL SANTOS DUMONT, SANTA MARIA",,apartamento,519000.0,135.0,4.0,,3.0,venda,-15.9967473,-47.9993541
12586,"Quadra 2 Conjunto 4, TAQUARI, BRASILIA",,lote,950000.0,776.0,,,,venda,-15.7079472,-47.9133088
8577,"QR 1 A Conjunto Q, CANDANGOLANDIA, CANDANGOLANDIA",,casa,830000.0,280.0,6.0,,3.0,venda,-15.8585376,-47.9532868
3034,"Quadra 3, SETOR DE CHACARAS ANHANGUERA C, VALPARAISO DE GOIAS",,apartamento,130000.0,43.0,2.0,,1.0,venda,-16.0749208,-47.9883213
4112,"QNP 36 Conjunto E, CEILANDIA SUL, CEILANDIA",,casa,260000.0,100.0,3.0,,2.0,venda,-15.8527514,-48.1192783
14842,"Zona Rural, ZONA RURAL, PARANOA",,rural,650000.0,,,,,venda,-15.8372013,-48.0258046
4630,"QE 54 Conjunto A, GUARA II, GUARA",,casa,810000.0,100.0,3.0,,2.0,venda,-15.8546624,-47.9665584
2486,"Quadra 15, SOBRADINHO, SOBRADINHO",,apartamento,350000.0,100.0,3.0,,,venda,-15.6214997,-47.8359285
6563,"QN 1031 Conjunto 2, SAMAMBAIA NORTE, SAMAMBAIA",,casa,180000.0,120.0,2.0,,2.0,venda,-15.8658787,-48.0927996
11553,"QC 9 Rua H, JARDINS MANGUEIRAL, BRASILIA",,casa,720000.0,131500.0,3.0,,1.0,venda,-15.8970264,-47.8020238
304,"QS 5 Rua 300, AREAL, AGUAS CLARAS",,apartamento,270000.0,48.0,2.0,,1.0,venda,-15.8529252,-48.0334645
9809,"Rodovia DF 480 , PONTE ALTA, GAMA",,casa,950000.0,600.0,4.0,,2.0,venda,-15.9837134,-48.0401183
14165,"Setor Central, JARDIM BOTANICO, BRASILIA",,lote,330000.0,332.0,,,,venda,-15.8612172,-47.8286874
11231,"QC 6 Rua C, JARDINS MANGUEIRAL, BRASILIA",,casa,550000.0,68.0,3.0,,1.0,venda,-15.7936968,-47.9180681
1704,"Quadra 12 Conjunto I, JARDIM BOTANICO, BRASILIA",,apartamento,920000.0,125.0,4.0,,2.0,venda,-15.8825566,-47.7990861
9863,"QN 513, SAMAMBAIA SUL, SAMAMBAIA",,casa,110000.0,50.0,1.0,,1.0,venda,-15.891251,-48.1049628
6626,"Quadra 104, SETOR RESIDENCIAL OESTE, SAO SEBASTIAO",,casa,400000.0,70.0,3.0,,1.0,venda,-15.897613,-47.7825637
9905,"Quadra 4, SETOR OESTE, GAMA",,casa,485000.0,275.0,4.0,,3.0,venda,-15.7797407,-48.0001712
3801,"Rua 13, PARQUE SANTA RITA DE CASSIA, VALPARAISO DE GOIAS",,apartamento,223000.0,56.0,3.0,,1.0,venda,-16.1216037,-47.9740274
13482,"Quadra 3 Conjunto B, JARDIM BOTANICO, BRASILIA",,lote,760000.0,800.0,,,,venda,-15.8706681,-47.794599
1043,"QNE 16, TAGUATINGA NORTE, TAGUATINGA",,apartamento,359999.0,145.0,4.0,,,venda,-15.8107926,-48.0652009
9218,"QE 56 Conjunto O, GUARA II, GUARA",,casa,550000.0,120.0,2.0,,2.0,venda,-15.8584788,-47.9641349
11861,"Alphaville Residencial 1 Quadra Q , ALPHAVILLE BRASILIA, ALPHAVILLE",,lote,300000.0,581.0,,,,venda,-15.7975154,-47.89188739999999
2925,"CSA 03 Lote 19, TAGUATINGA SUL, TAGUATINGA",,apartamento,275000.0,75.0,2.0,,,venda,-15.8190021,-48.0219035
11763,"QN 12C Conjunto 1, RIACHO FUNDO II, RIACHO FUNDO",,lote,550000.0,307.0,,,,venda,-15.8938749,-48.0538085
11565,"Condomínio Quinta Snta Barbara, JARDIM BOTANICO, BRASILIA",,casa,620000.0,310.0,6.0,,4.0,venda,-15.7878241,-47.883291
9210,"QNN 10 Conjunto C, CEILANDIA SUL, CEILANDIA",,casa,350000.0,150.0,3.0,,3.0,venda,-15.8387235,-48.0992991
8055,"Rua 23 Conjunto A, RESIDENCIAL DO BOSQUE, SAO SEBASTIAO",,casa,398000.0,300.0,6.0,,2.0,venda,-15.9111076,-47.7549708
12953,"DF140 KM 11, ASA NORTE, BRASILIA",,lote,650000.0,20149.0,,,,venda,-15.7634542,-47.8800995
4963,"QMS 29, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,casa,660000.0,115.0,3.0,,6.0,venda,-15.6353342,-47.8394809
6422,"Quadra 5 Conjunto 3, SETOR LESTE, VILA ESTRUTURAL",,casa,140000.0,73.0,2.0,,1.0,venda,-15.708703,-47.91437519999999
13949,"Avenida Buriti, PONTE ALTA, GAMA",,lote,260000.0,400.0,2.0,,10.0,venda,-15.9715581,-48.046858
10831,"Quadra 11, SETOR OESTE, GAMA",,casa,570000.0,275.0,5.0,,5.0,venda,-16.0126284,-48.0689547
13042,"Quadra 10, RESIDENCIAL VILLA SUICA, CIDADE OCIDENTAL",,lote,120000.0,250.0,,,,venda,-15.8423133,-47.7965187
5577,"QNM 7 Conjunto C, CEILANDIA SUL, CEILANDIA",,casa,350000.0,190.0,3.0,,2.0,venda,-15.8328698,-48.1000759
3878,"QNG 38, TAGUATINGA NORTE, TAGUATINGA",,casa,698000.0,232.0,3.0,,4.0,venda,-15.7980543,-48.07106659999999
13277,"ES 12A, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,lote,550000.0,556.0,,,,venda,-15.6516978,-47.7575502
2700,"Quadra 9, SOBRADINHO, SOBRADINHO",,apartamento,360000.0,58.0,2.0,,1.0,venda,-15.6746899,-47.8271344
3291,"QE 38 Conjunto M, GUARA II, GUARA",,apartamento,999999.0,540.0,13.0,,3.0,venda,-15.848397,-47.9688695
11839,"Quadra 13 AREA PMDF, SETOR SUL, GAMA",,lote,200000.0,1000.0,,,,venda,-16.0194969,-48.06483679999999
4885,"QNH Área Especial 2, TAGUATINGA NORTE, TAGUATINGA",,casa,650000.0,350.0,5.0,,3.0,venda,-15.8067496,-48.0854887
1069,"SGAN 915, ASA NORTE, BRASILIA",,apartamento,995000.0,74.0,2.0,,1.0,venda,-15.7434026,-47.9012933
11227,"SHA Conjunto 4 Chacará 22, ARNIQUEIRA, AGUAS CLARAS",,casa,980000.0,190.0,3.0,,2.0,venda,-15.8482245,-48.0120686
6126,"Condomínio Residencial Jardim da Serra, JARDIM BOTANICO, BRASILIA",,casa,500000.0,256.0,3.0,,1.0,venda,-15.8794145,-47.8105738
3144,"Quadra 201 Conjunto 2, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,320000.0,49.0,2.0,,1.0,venda,-15.903042,-48.0573093
2471,"CRNW 510 Bloco B Lote 6, NOROESTE, BRASILIA",,apartamento,775000.0,34.0,1.0,,1.0,venda,-15.7448973,-47.9143435
11785,"Residencial Itaipú Quadra 80, JARDIM BOTANICO, BRASILIA",,lote,130000.0,240.0,,,,venda,-15.8612172,-47.8286874
14522,"Rodovia DF 290, PONTE ALTA, GAMA",,rural,980000.0,,6.0,,10.0,venda,-16.0175251,-48.1097858
14415,"BR 060 KM 32 AGROVILA (SEDE DA ACEL), ENGENHO DAS LAGES, GAMA",,rural,850000.0,,,,,venda,-22.852393,-43.6111323
554,"Quadra 55, SETOR CENTRAL, GAMA",,apartamento,515000.0,71.0,3.0,,1.0,venda,-16.0162878,-48.0625642
8484,"QMS 33C, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,casa,550000.0,250.0,3.0,,2.0,venda,-15.6516978,-47.7575502
8140,"Quadra 27, SETOR OESTE, GAMA",,casa,520000.0,275.0,5.0,,3.0,venda,-16.0082704,-48.0727329
14280,"QNG 44, TAGUATINGA NORTE, TAGUATINGA",,lote,760000.0,350.0,3.0,,5.0,venda,-15.8018696,-48.0748541
5897,"DF003 KM 1,6 (Entre Balao do Torto e Colorado), TAQUARI, BRASILIA",,casa,980000.0,486.0,4.0,,15.0,venda,-15.6950072,-47.87102369999999
6076,"Condomínio Residencial Shalon SHTO DF 140, JARDIM BOTANICO, BRASILIA",,casa,650000.0,170.0,3.0,,3.0,venda,-15.988379,-47.8150124
2767,"QS 412 Conjunto F, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,220000.0,31.0,1.0,,1.0,venda,-15.8604385,-48.0734642
9479,"Quadra 8, COLONIA AGRICOLA ALEXANDRE GUSMAO, BRAZLANDIA",,casa,570000.0,150.0,2.0,,3.0,venda,-15.7368495,-48.1584866
3039,"QE 30 Conjunto Q, GUARA II, GUARA",,apartamento,930000.0,72.0,2.0,,1.0,venda,-15.8422417,-47.9764983
13087,"Quadra 3 Conjunto B, JARDIM BOTANICO, BRASILIA",,lote,730000.0,800.0,,,,venda,-15.8706681,-47.794599
10118,"QS 11, AREAL, AGUAS CLARAS",,casa,650000.0,260.0,7.0,,,venda,-15.8706539,-48.0150586
6533,"QNO 5 Conjunto L, CEILANDIA NORTE, CEILANDIA",,casa,565000.0,240.0,3.0,,4.0,venda,-15.791299,-48.1239454
5381,"QMS 13, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,casa,420000.0,260.0,4.0,,5.0,venda,-15.627327,-47.8389393
10778,"QS 7 Rua 210, AREAL, AGUAS CLARAS",,casa,680000.0,199.0,4.0,,3.0,venda,-15.8647996,-48.0276174
8651,"QS 14 Conjunto 5, RIACHO FUNDO II, RIACHO FUNDO",,casa,530000.0,144.0,3.0,,2.0,venda,-15.9440103,-48.0347422
12466,"Quadra 1 Bloco F, JARDIM BOTANICO, BRASILIA",,lote,860000.0,733.0,,,,venda,-15.7901389,-47.883813
13286,"SHA Conjunto 5 Chacará 104, ARNIQUEIRA, AGUAS CLARAS",,lote,689000.0,800.0,,,,venda,-15.8592922,-48.0123796
14213,"QNN 5 Conjunto D, CEILANDIA NORTE, CEILANDIA",,lote,250000.0,250.0,1.0,,,venda,-15.8086602,-48.1152805
14836,"Setor Mansoes Fazendarias, SETOR TORORO, BRASILIA",,rural,690000.0,,,,6.0,venda,-16.0404862,-47.83442
11689,"SHA Conjunto 6 Chacará 486, ARNIQUEIRA, AGUAS CLARAS",,casa,560000.0,400.0,3.0,,,venda,-15.8418956,-48.0070042
8100,"QR 2, CANDANGOLANDIA, CANDANGOLANDIA",,casa,450000.0,80.0,3.0,,2.0,venda,-15.8508442,-47.94983
15228,"CLN 307 Bloco B, ASA NORTE, BRASILIA",,sala,205000.0,30.0,,,,venda,-15.7685407,-47.8867427
421,"QR 403 Conjunto 5 A, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,330000.0,50.0,2.0,,1.0,venda,-15.8719482,-48.0973444
13885,"NUCLEO RURAL LAGO OESTE, NUCLEO RURAL LAGO OESTE, SOBRADINHO",,lote,350000.0,20000.0,,,,venda,-15.6559085,-47.8975213
4465,"QE 38 Conjunto H, GUARA II, GUARA",,casa,450000.0,80.0,3.0,,1.0,venda,-15.8466616,-47.9729593
2996,"QR 303 Conjunto 15, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,110000.0,53.0,2.0,,1.0,venda,-15.8828393,-48.0931668
4991,"Rua 3 Chacará 48, VICENTE PIRES, VICENTE PIRES",,casa,490000.0,85.0,2.0,,6.0,venda,-15.8023551,-48.0119471
1497,"CRNW 710 Lote A, NOROESTE, BRASILIA",,apartamento,944300.0,62.0,2.0,,1.0,venda,-15.7468325,-47.9147637
1048,"SHCES Quadra 209, NOVO, CRUZEIRO",,apartamento,455000.0,58.0,3.0,,1.0,venda,-15.7955956,-47.9391371
11815,"Residencial Damha I Quadra C1, RESIDENCIAL E COMERCIAL DAMHA, CIDADE OCIDENTAL",,lote,180000.0,450.0,,,,venda,-15.7975154,-47.89188739999999
8869,"Quadra 2 Conjunto A, SETOR SUL, BRAZLANDIA",,casa,450000.0,65.0,3.0,,,venda,-15.6738282,-48.201374
857,"SQ, CIDADE OCIDENTAL, CIDADE OCIDENTAL",,apartamento,895000.0,125.0,4.0,,2.0,venda,-16.102852,-47.9481186
9995,"QNN 24 Conjunto G, CEILANDIA SUL, CEILANDIA",,casa,570000.0,145.0,3.0,,2.0,venda,-15.8369715,-48.10699030000001
13497,"DAMHA I QUADRA E1, RESIDENCIAL E COMERCIAL DAMHA, CIDADE OCIDENTAL",,lote,110000.0,374.0,,,,venda,-15.7975154,-47.89188739999999
8337,"QR 502 Conjunto 20, SAMAMBAIA SUL, SAMAMBAIA",,casa,530000.0,300.0,7.0,,3.0,venda,-15.8869237,-48.0831842
3822,"QI 10 Bloco B, GUARA I, GUARA",,kitnet,135000.0,30.0,1.0,,,venda,-15.817936,-47.9904272
8212,"Quadra 37 Conjunto B, SETOR CENTRAL, GAMA",,casa,680000.0,200.0,4.0,,3.0,venda,-16.0251404,-48.05912379999999
4743,"QE 42, GUARA II, GUARA",,casa,570000.0,130.0,4.0,,2.0,venda,-15.8478544,-47.9667574
4897,"Alphaville Residencial 2 Quadra T, ALPHAVILLE BRASILIA, ALPHAVILLE",,casa,890000.0,474.0,3.0,,4.0,venda,-15.7975154,-47.89188739999999
5770,"Quadra 19, SETOR OESTE, GAMA",,casa,725000.0,288.0,4.0,,3.0,venda,-16.0132725,-48.0739116
8261,"Quadra 25 Conjunto E, PARANOA, PARANOA",,casa,299000.0,150.0,3.0,,2.0,venda,-15.7081813,-47.9147177
10011,"CSD AE, TAGUATINGA SUL, TAGUATINGA",,casa,630000.0,130.0,3.0,,3.0,venda,-15.85181,-48.04185
15164,"SDS Blocos R, ASA SUL, BRASILIA",,sala,110000.0,40.0,,,,venda,-15.8114166,-47.8945011
14169,"Colônia Agrícola Bernardo Sayão Chacará 02, GUARA II, GUARA",,lote,430000.0,500.0,,,,venda,-15.848175,-47.9830484
3188,"QNL 1 Bloco D, TAGUATINGA NORTE, TAGUATINGA",,apartamento,210000.0,63.0,2.0,,1.0,venda,-15.8307784,-48.0786679
12307,"Quadra 11 Conjunto C, JARDIM BOTANICO, BRASILIA",,lote,750000.0,734.0,,,,venda,-15.8895045,-47.7990418
7713,"Quadra I, GRANJA DO TORTO, BRASILIA",,casa,900000.0,300.0,4.0,,,venda,-15.7099192,-47.9156981
821,"QS 502 Conjunto 3, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,289900.0,50.0,2.0,,1.0,venda,-15.8875965,-48.0837604
